,name,link,company,salary_min,salary_max,currency,source
72,Кредитный аналитик,https://hh.ru/vacancy/38788751?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, PARU GROUP,150000,300000,руб.,hh.ru
73,Аналитик,https://hh.ru/vacancy/39077055?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Нефтегазкомплектмонтаж,NaN,NaN,NaN,hh.ru
74,Аналитик,https://hh.ru/vacancy/37748663?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, АСТ для профессионалов,80000,NaN,руб.,hh.ru
75,Младший количественный аналитик (стажер),https://hh.ru/vacancy/38509650?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО АТОН,NaN,NaN,NaN,hh.ru
76,Аналитик,https://hh.ru/vacancy/39094797?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ANCOR Consumer Goods,52000,NaN,руб.,hh.ru
77,Стажер-аналитик,https://hh.ru/vacancy/39101729?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, IBS,NaN,NaN,NaN,hh.ru
78,Бизнес-аналитик,https://hh.ru/vacancy/39081506?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Hunt For You,NaN,200000,руб.,hh.ru
79,Junior аналитик,https://hh.ru/vacancy/39042777?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Доктор на работе,40000,NaN,руб.,hh.ru
80,Главный аналитик,https://hh.ru/vacancy/39131197?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Вертро,90000,NaN,руб.,hh.ru
81,Аналитик данных,https://hh.ru/vacancy/39128810?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ПАО БАНК УРАЛСИБ,NaN,NaN,NaN,hh.ru
82,Аналитик,https://hh.ru/vacancy/39107028?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Группа Официальных Дилеров Сильвер,,,,hh.ru
83,Младший бизнес-аналитик,https://hh.ru/vacancy/38360644?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Бизнес Технологии,30000,NaN,руб.,hh.ru
84,Аналитик (стажер),https://hh.ru/vacancy/37582274?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Хомнет, Группа Компаний",30000,NaN,руб.,hh.ru
85,Младший аналитик TI,https://hh.ru/vacancy/38825781?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Group-IB,NaN,NaN,NaN,hh.ru
86,Младший системный аналитик/бизнес-аналитик (Помощник аналитика),https://hh.ru/vacancy/39137771?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ИТ-интегратор Fusion,,,,hh.ru
87,Аналитик,https://hh.ru/vacancy/39067062?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ФИЗИКОН,,,,hh.ru
88,Бизнес-аналитик,https://hh.ru/vacancy/39098564?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, HR-бутик STAFFEE,150000,NaN,руб.,hh.ru
89,Продуктовый аналитик,https://hh.ru/vacancy/39114075?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Л'Этуаль Офис,NaN,NaN,NaN,hh.ru
90,Продуктовый аналитик,https://hh.ru/vacancy/39090730?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Xsolla Inc.,NaN,NaN,NaN,hh.ru
91,Старший аналитик,https://hh.ru/vacancy/39104238?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Народный банк Казахстана,NaN,NaN,NaN,hh.ru
92,Продуктовый аналитик,https://hh.ru/vacancy/39062362?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Самокат (ООО Умный ритейл),NaN,NaN,NaN,hh.ru
