,name,link,company,salary_min,salary_max,currency,source
122,Финансовый менеджер-аналитик,https://hh.ru/vacancy/39101747?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ТОО OTAN Green Food,,,,hh.ru
123,Младший аналитик,https://hh.ru/vacancy/39069550?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Содружество,,,,hh.ru
124,Аналитик,https://hh.ru/vacancy/39136994?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Федеральная сеть книжных магазинов «Читай-город»,NaN,60000,руб.,hh.ru
125,Экономический / инвест-аналитик,https://hh.ru/vacancy/39083632?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Акселератор возможностей,,,,hh.ru
126,Бизнес-аналитик,https://hh.ru/vacancy/38853832?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Finflow Software Solutions,100000,120000,руб.,hh.ru
127,Продуктовый аналитик,https://hh.ru/vacancy/39062340?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Самокат (ООО Умный ритейл),NaN,NaN,NaN,hh.ru
128,Ведущий аналитик,https://hh.ru/vacancy/38948944?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Центр инноваций и информационных технологий,NaN,220000,руб.,hh.ru
129,Проджект менеджер / Аналитик,https://hh.ru/vacancy/38555219?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО СмартСофт,,,,hh.ru
130,Товарный аналитик,https://hh.ru/vacancy/39021448?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Точка Любви,,,,hh.ru
131,Системный аналитик (Бизнес-аналитик),https://hh.ru/vacancy/38890078?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Фортис Технологии,,,,hh.ru
